Year,Country,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Athletes,Events_Count,Host_or_Not,Country_Code,population_total,population_growth,GNI_per_capita,GDP,GDP_growth,Region,GDP_per_capita,Population_Percentage,GDP_Percentage,HDI
2008,Afghanistan,1,0,0,1,4,4,0,AFG,26427200,2.00233,370,10109300000,3.92498,South Asia,382.534,0.003905953,0.000158892,0.437
2012,Afghanistan,1,0,0,1,6,6,0,AFG,30466500,4.07763,640,19907300000,12.7523,South Asia,653.417,0.004288092,0.000265222,0.482
1992,Algeria,2,1,0,1,35,27,0,ALG,26748300,2.32375,1920,48003100000,1.8,Middle East and North Africa,1794.62,0.004917921,0.001912396,0.587
1996,Algeria,3,2,0,1,45,29,0,ALG,28984600,1.76332,1530,46941600000,4.1,Middle East and North Africa,1619.53,0.00501543,0.001489396,0.608
2000,Algeria,5,1,1,3,47,42,0,ALG,30774600,1.40229,1610,54790400000,3.8,Middle East and North Africa,1780.38,0.005036402,0.001636901,0.644
2008,Algeria,2,0,1,1,56,44,0,ALG,34569600,1.70897,4460,1.80384E+11,2.5,Middle East and North Africa,5217.99,0.005109403,0.002835167,0.709
2012,Algeria,1,1,0,0,38,29,0,ALG,37260600,1.9431,5690,2.27144E+11,2.4,Middle East and North Africa,6096.09,0.005244344,0.003026196,0.74
2016,Algeria,2,0,2,0,64,48,0,ALG,40339300,1.99343,4980,1.80764E+11,3.9,Middle East and North Africa,4481.08,0.005412499,0.00238678,0.753
1992,Argentina,1,0,0,1,84,68,0,ARG,33568300,1.38743,6060,2.28779E+11,7.93729,Latin America and Caribbean,6815.33,0.006171838,0.009114319,0.72
1996,Argentina,3,0,2,1,179,102,0,ARG,35389400,1.26041,7700,2.7215E+11,5.52669,Latin America and Caribbean,7690.16,0.006123688,0.008634964,0.738
2000,Argentina,4,0,2,2,143,98,0,ARG,37070800,1.13328,7430,2.84204E+11,-0.788999,Latin America and Caribbean,7666.52,0.006066795,0.008490783,0.771
2004,Argentina,6,2,0,4,152,86,0,ARG,38668800,1.01534,3360,1.64658E+11,9.02957,Latin America and Caribbean,4258.16,0.006007986,0.003764852,0.78
2008,Argentina,6,2,0,4,132,71,0,ARG,40273800,0.992294,7630,3.61558E+11,4.05723,Latin America and Caribbean,8977.51,0.005952483,0.005682756,0.795
2012,Argentina,4,1,1,2,137,66,0,ARG,41733300,1.13691,11890,5.45982E+11,-1.02642,Latin America and Caribbean,13082.7,0.005873869,0.007274027,0.818
2016,Argentina,4,3,1,0,215,80,0,ARG,43590400,1.05718,12220,5.57532E+11,-2.08033,Latin America and Caribbean,12790.3,0.005848705,0.007361576,0.822
1996,Armenia,2,1,1,0,32,36,0,ARM,3298900,-0.721391,500,1596970000,5.8654,Europe and Central Asia,484.092,0.000570833,5.06698E-05,0.612
2000,Armenia,1,0,0,1,25,26,0,ARM,3168520,-1.17679,640,1911560000,5.9,Europe and Central Asia,603.298,0.000518543,5.71093E-05,0.647
2008,Armenia,6,0,0,6,25,24,0,ARM,2983420,-0.700492,3510,11662000000,6.9,Europe and Central Asia,3908.95,0.000440951,0.000183297,0.727
2012,Armenia,3,0,1,2,24,30,0,ARM,2914420,-0.49817,3840,10619300000,7.2,Europe and Central Asia,3643.72,0.000410199,0.000141479,0.737
2016,Armenia,4,1,3,0,31,32,0,ARM,2865840,-0.444257,3850,10546100000,0.2,Europe and Central Asia,3679.95,0.000384521,0.00013925,0.749
1992,Australia,27,7,9,11,279,153,0,AUS,17478600,1.1196,18570,3.25518E+11,0.427678,East Asia and Pacific,18623.8,0.003213608,0.012968324,0.868
1996,Australia,41,9,9,23,417,211,0,AUS,18224800,1.21385,20590,4.01342E+11,3.86393,East Asia and Pacific,22021.8,0.003153569,0.012734066,0.886
2000,Australia,58,16,25,17,617,270,1,AUS,19028800,1.14447,21300,4.16168E+11,3.92152,East Asia and Pacific,21870.4,0.003114147,0.012433301,0.898
2004,Australia,50,17,16,17,470,219,0,AUS,19932700,1.0692,25850,6.1466E+11,4.22432,East Asia and Pacific,30836.7,0.003096955,0.014054007,0.907
2008,Australia,46,14,15,17,432,219,0,AUS,21249200,2.00391,42410,1.05611E+12,3.58623,East Asia and Pacific,49701.3,0.003140642,0.016599353,0.92
2012,Australia,35,7,16,12,405,208,0,AUS,22733500,1.74582,60290,1.54765E+12,3.91841,East Asia and Pacific,68078,0.003199687,0.020619066,0.929
2016,Australia,29,8,11,10,420,194,0,AUS,24190900,1.56194,54140,1.20758E+12,2.77914,East Asia and Pacific,49918.8,0.003245797,0.015944724,0.938
1992,Austria,2,0,2,0,102,68,0,AUT,7840710,1.10055,24520,1.95078E+11,2.09352,Europe and Central Asia,24880.2,0.001441586,0.007771714,0.805
1996,Austria,3,0,1,2,72,53,0,AUT,7959020,0.13502,30090,2.37251E+11,2.34953,Europe and Central Asia,29809.1,0.001377209,0.00752767,0.82
2000,Austria,3,2,1,0,92,68,0,AUT,8011570,0.240467,26810,1.9729E+11,3.37572,Europe and Central Asia,24625.6,0.001311128,0.005894164,0.838
2004,Austria,7,2,4,1,74,56,0,AUT,8171970,0.620413,33850,3.01458E+11,2.73512,Europe and Central Asia,36889.2,0.001269682,0.006892732,0.849
2008,Austria,3,0,1,2,70,62,0,AUT,8321500,0.313041,49210,4.32052E+11,1.46042,Europe and Central Asia,51920,0.001229921,0.006790738,0.884
2016,Austria,1,0,0,1,71,61,0,AUT,8736670,1.0814,46240,3.95837E+11,1.98944,Europe and Central Asia,45307.6,0.001172236,0.005226579,0.906
1996,Azerbaijan,1,0,1,0,23,23,0,AZE,7763000,1.0118,240,3176510000,1.3,Europe and Central Asia,409.186,0.00134329,0.000100787,0.612
2000,Azerbaijan,3,2,0,1,31,32,0,AZE,8048600,0.82152,630,5272620000,11.1,Europe and Central Asia,655.097,0.001317189,0.000157523,0.64
2004,Azerbaijan,5,1,0,4,36,36,0,AZE,8306500,0.875427,960,8680410000,9.2538,Europe and Central Asia,1045.01,0.001290584,0.000198475,0.674
2008,Azerbaijan,7,1,2,4,44,37,0,AZE,8763400,2.09985,3890,48851300000,10.759,Europe and Central Asia,5574.47,0.001295235,0.000767816,0.719
2012,Azerbaijan,10,2,2,6,52,57,0,AZE,9295780,1.32876,6480,69679900000,2.16524,Europe and Central Asia,7495.87,0.001308362,0.000928334,0.745
2016,Azerbaijan,18,1,7,10,56,62,0,AZE,9757810,1.11786,4790,37867000000,-3.1,Europe and Central Asia,3880.69,0.001309247,0.00049999,0.757
1992,Bahamas,1,0,0,1,14,13,0,BHS,281973,2.12003,10900,3109000000,-3.82558,Latin America and Caribbean,11025.9,5.18433E-05,0.000123859,0.732
1996,Bahamas,1,0,1,0,26,17,0,BHS,304933,1.77974,14840,3609000000,4.22353,Latin America and Caribbean,11835.4,5.27649E-05,0.000114509,0.787
2000,Bahamas,3,2,0,1,25,18,0,BHS,325014,1.46976,23790,8076470000,4.14842,Latin America and Caribbean,24849.6,0.00005319,0.00024129,0.776
2004,Bahamas,2,1,0,1,22,18,0,BHS,343089,1.34953,27200,9055290000,0.882374,Latin America and Caribbean,26393.4,5.33059E-05,0.000207046,0.784
2008,Bahamas,2,0,1,1,25,22,0,BHS,362795,1.42383,29270,10526000000,-2.32365,Latin America and Caribbean,29013.6,5.36213E-05,0.000165441,0.79
2012,Bahamas,1,1,0,0,21,16,0,BHS,382061,1.08184,27160,10720500000,2.9979,Latin America and Caribbean,28059.7,5.37743E-05,0.000142827,0.807
2016,Bahamas,2,1,0,1,29,20,0,BHS,395976,0.831528,26920,11745100000,-0.961909,Latin America and Caribbean,29661.1,5.31298E-05,0.000155081,0.806
2012,Bahrain,1,0,0,1,12,11,0,BRN,1224940,1.05556,41580,30749300000,3.72811,East Asia and Pacific,46844.2,0.000172408,0.000253779,0.8
2016,Bahrain,2,1,1,0,33,20,0,BRN,1409660,3.42908,32690,32250100000,3.47352,East Asia and Pacific,26762,0.00018914,0.00015053,0.846
2000,Barbados,1,0,0,1,18,21,0,BAR,264657,0.184181,11060,3059500000,4.44719,Latin America and Caribbean,11560.2,4.33123E-05,9.14047E-05,0.752
1996,Belarus,15,1,6,8,157,115,0,BLR,10159600,-0.336671,1450,14756800000,2.8,Europe and Central Asia,1452.51,0.001757987,0.000468216,0.661
2000,Belarus,17,3,3,11,139,109,0,BLR,9979610,-0.471131,1380,12736800000,5.8,Europe and Central Asia,1276.28,0.001633207,0.00038052,0.683
2004,Belarus,13,2,5,6,151,121,0,BLR,9730150,-0.682169,2170,23141600000,11.4497,Europe and Central Asia,2378.34,0.001511777,0.000529125,0.715
2008,Belarus,18,4,5,9,177,122,0,BLR,9527990,-0.345415,5470,60752100000,10.2,Europe and Central Asia,6376.18,0.001408241,0.000954866,0.774
2012,Belarus,12,2,5,5,160,110,0,BLR,9446840,-0.156618,6630,65685900000,1.68714,Europe and Central Asia,6953.22,0.001329622,0.000875122,0.803
2016,Belarus,9,1,4,4,120,86,0,BLR,9469380,0.0877211,5640,47723500000,-2.52583,Europe and Central Asia,5039.78,0.001270547,0.000630135,0.805
1992,Belgium,3,0,1,2,68,70,0,BEL,10045200,0.405713,23170,2.34782E+11,1.53065,Europe and Central Asia,23372.6,0.001846895,0.009353462,0.825
